,n=10,,,n=100,,,"n=1,000",,,"n=10,000",,,"n=100,000",,,"n=1,000,000",,
,try 1,try 2, try3,try 1,try 2,try 3,try 1,try 2,try 3,try 1,try 2,try 3,try 1,try 2,try 3,try 1,try 2,try 3
std_add.btor2,464,543,548,1415,4580,1611,12526,12224,15680,103557,118289,120387,1010350,1252290,1132761,10071207,10538765,9285622
std_and.btor2,1530,490,446,1335,4462,4405,10154,10021,13299,102641,108350,93468,928639,877017,846891,6556266,6344654,6349261
std_cat.btor2,508,592,14504,1359,4041,1565,10214,12242,22598,94128,117824,108780,1135653,1146015,1083165,9426258,9518222,8480306
std_eq.btor2,566,20092,2794,11957,19873,1374,20548,12924,8913,115663,133471,95300,1072820,981678,881443,8583148,8150723,7459233
std_ge.btor2,506,306,329,1013,751,3655,5520,4998,6774,49691,45733,54448,577387,620204,609070,9461443,9793508,9610697
std_gt.btor2,3692,496,484,1584,1395,3652,9325,10148,11886,92505,99253,101448,1139464,912778,930807,7884012,7640315,7336512
std_le.btor2,2854,480,4247,1624,3942,1362,15729,12222,14586,106246,101154,102417,986494,1011089,927623,6367255,6189512,6043798
std_lsh.btor2,283,502,3535,1027,3710,1053,10247,6027,7342,66921,59237,65986,558183,492263,586020,7668082,7675564,7397441
std_lt.btor2,249,2846,317,4618,744,1083,8932,6979,7630,50067,49358,50929,588905,534868,614906,8069355,7679451,7759563
std_mux.btor2,525,503,522,1592,1592,3705,16544,14327,14168,122047,110018,111088,982778,1002493,952858,6644893,6403384,6371401
std_neq.btor2,473,441,2621,1271,2923,1565,8462,9980,5142,80309,81289,78633,838600,656216,748772,8738306,9004177,8790701
std_not.btor2,422,3921,2305,2700,865,4629,6930,19123,5970,66747,69546,62029,557031,549295,592242,6040920,6549627,6264620
std_or.btor2,3711,463,478,1273,4182,1380,14236,10463,32091,102341,103559,117939,977541,1164270,1130192,10098786,10522389,9648076
std_pad.btor2,14087,433,401,983,3105,1008,20285,8711,7925,60752,59023,53839,552925,551395,487329,5269338,5097834,4830809
std_rsh.btor2,469,483,419,4919,4084,3109,10739,8238,14673,98469,94862,83044,819428,723350,775710,9262598,9656310,9252952
std_slice.btor2,2908,2438,340,3274,7670,855,5151,9416,5233,52515,46840,51569,549916,484330,486241,5465528,6062789,5915368
std_sub.btor2,594,540,530,1726,1538,3774,16608,13258,11724,129415,93224,122328,1136528,1146350,1071117,8010966,7522096,7355841
std_xor.btor2,298,2982,388,4409,1027,2872,8358,8537,9343,74417,57129,54413,562890,464599,568512,8003418,7867989,8067994
fib.btor2,878,856,3454,5578,10114,8905,65504,57372,69152,730570,700394,766270,9494982,9359502,9238621,49181414,48917322,48447717
,,,,,,,,,,,,,,,,,,
Mean:,1998.111111,,,2985.555556,,,11394.87037,,,86011.75926,,,814290.5741,,,7778875.611,,
Stdev:,"3,737",,,"3,072",,,5061.147912,,,26047.6549,,,241258.774,,,1506197.181,,
,,,,,,,,,,,,,,,,,,
gen_xor_cat.btor2,"4,310","1,383",882,"13,102",8282,13439,94980,85912,97630,943057,880126,890294,10878236,10833777,10546533,53819092,53905964,53301438
,,,,,,,,,,,,,,,,,,
Mean:,"2,192",,,"11,608",,,92840.66667,,,904492.3333,,,10752848.67,,,53675498,,
Stdev:,1851.554032,,,2885.036626,,,6144.952509,,,33782.72032,,,180052.1214,,,326844.5331,,
