python3 brench-pipeless/brench.py benchmark.toml
benchmark,run,result
std_lt,baseline,3072
std_lt,10,3373
std_lt,100,455
std_lt,1000,3212
std_lt,10000,27063
std_lt,100000,268462
std_lt,1000000,2952685
std_lsh,baseline,3012
std_lsh,10,277
std_lsh,100,3174
std_lsh,1000,3699
std_lsh,10000,34847
std_lsh,100000,317852
std_lsh,1000000,3503359
std_xor,baseline,261
std_xor,10,383
std_xor,100,3242
std_xor,1000,6450
std_xor,10000,37821
std_xor,100000,344386
std_xor,1000000,3968481
std_ge,baseline,2582
std_ge,10,334
std_ge,100,2925
std_ge,1000,2954
std_ge,10000,22134
std_ge,100000,265075
std_ge,1000000,3430302
fib,baseline,393
fib,10,987
fib,100,9225
fib,1000,75838
fib,10000,831813
fib,100000,9608107
fib,1000000,55690293
gen_xor_cat,baseline,2521
gen_xor_cat,10,2757
gen_xor_cat,100,4522
gen_xor_cat,1000,45664
gen_xor_cat,10000,385263
gen_xor_cat,100000,3964641
gen_xor_cat,1000000,29123767
std_neq,baseline,351
std_neq,10,390
std_neq,100,789
std_neq,1000,8489
std_neq,10000,45125
std_neq,100000,361187
std_neq,1000000,3381404
std_slice,baseline,311
std_slice,10,1901
std_slice,100,2190
std_slice,1000,2934
std_slice,10000,24833
std_slice,100000,279993
std_slice,1000000,2462112
std_rsh,baseline,373
std_rsh,10,1808
std_rsh,100,777
std_rsh,1000,6572
std_rsh,10000,39831
std_rsh,100000,419811
std_rsh,1000000,3551129
std_not,baseline,2347
std_not,10,365
std_not,100,2567
std_not,1000,3054
std_not,10000,31129
std_not,100000,329905
std_not,1000000,2960431
std_or,baseline,391
std_or,10,3975
std_or,100,787
std_or,1000,9662
std_or,10000,44863
std_or,100000,393357
std_or,1000000,5398064
std_add,baseline,364
std_add,10,410
std_add,100,4561
std_add,1000,5684
std_add,10000,52090
std_add,100000,426891
std_add,1000000,5936735
std_cat,baseline,337
std_cat,10,2006
std_cat,100,2241
std_cat,1000,4107
std_cat,10000,36911
std_cat,100000,548914
std_cat,1000000,5335373
std_eq,baseline,2541
std_eq,10,435
std_eq,100,834
std_eq,1000,6402
std_eq,10000,45008
std_eq,100000,506669
std_eq,1000000,5168773
std_pad,baseline,2977
std_pad,10,2988
std_pad,100,581
std_pad,1000,6156
std_pad,10000,34508
std_pad,100000,343379
std_pad,1000000,3162434
std_gt,baseline,549
std_gt,10,23177
std_gt,100,4017
std_gt,1000,10713
std_gt,10000,46474
std_gt,100000,502099
std_gt,1000000,4255927
std_sub,baseline,7399
std_sub,10,5798
std_sub,100,1105
std_sub,1000,6220
std_sub,10000,65759
std_sub,100000,753460
std_sub,1000000,4117047
std_and,baseline,386
std_and,10,777
std_and,100,922
std_and,1000,5366
std_and,10000,114167
std_and,100000,659574
std_and,1000000,3061689
std_le,baseline,336
std_le,10,287
std_le,100,461
std_le,1000,6132
std_le,10000,27850
std_le,100000,371061
std_le,1000000,2282789
std_mux,baseline,321
std_mux,10,449
std_mux,100,900
std_mux,1000,5985
std_mux,10000,48873
std_mux,100000,356436
std_mux,1000000,2856803
