benchmark,type,lut,dsp,source
linear-algebra-3mm,hls,874,9,results/2020_07_28_16_15/
linear-algebra-3mm,hls_total,914,9,results/2020_07_28_16_15/
linear-algebra-3mm,futil,440,0,results/2020_07_28_16_15/
linear-algebra-symm,hls,765,18,results/2020_07_28_16_15/
linear-algebra-symm,hls_total,805,18,results/2020_07_28_16_15/
linear-algebra-symm,futil,226,0,results/2020_07_28_16_15/
linear-algebra-2mm,hls,731,12,results/2020_07_28_16_15/
linear-algebra-2mm,hls_total,771,12,results/2020_07_28_16_15/
linear-algebra-2mm,futil,304,0,results/2020_07_28_16_15/
linear-algebra-trmm,hls,379,6,results/2020_07_28_16_15/
linear-algebra-trmm,hls_total,419,6,results/2020_07_28_16_15/
linear-algebra-trmm,futil,191,0,results/2020_07_28_16_15/
linear-algebra-syr2k,hls,630,12,results/2020_07_28_16_15/
linear-algebra-syr2k,hls_total,670,12,results/2020_07_28_16_15/
linear-algebra-syr2k,futil,323,0,results/2020_07_28_16_15/
linear-algebra-syrk,hls,543,9,results/2020_07_28_16_15/
linear-algebra-syrk,hls_total,583,9,results/2020_07_28_16_15/
linear-algebra-syrk,futil,357,0,results/2020_07_28_16_15/
linear-algebra-trisolv,hls,609,3,results/2020_07_28_16_15/
linear-algebra-trisolv,hls_total,649,3,results/2020_07_28_16_15/
linear-algebra-trisolv,futil,175,0,results/2020_07_28_16_15/
linear-algebra-bicg,hls,397,6,results/2020_07_28_16_15/
linear-algebra-bicg,hls_total,437,6,results/2020_07_28_16_15/
linear-algebra-bicg,futil,284,0,results/2020_07_28_16_15/
linear-algebra-atax,hls,457,6,results/2020_07_28_16_15/
linear-algebra-atax,hls_total,497,6,results/2020_07_28_16_15/
linear-algebra-atax,futil,321,0,results/2020_07_28_16_15/
linear-algebra-gesummv,hls,507,12,results/2020_07_28_16_15/
linear-algebra-gesummv,hls_total,547,12,results/2020_07_28_16_15/
linear-algebra-gesummv,futil,211,0,results/2020_07_28_16_15/
linear-algebra-gemm,hls,507,9,results/2020_07_28_16_15/
linear-algebra-gemm,hls_total,547,9,results/2020_07_28_16_15/
linear-algebra-gemm,futil,290,0,results/2020_07_28_16_15/
dot-product,hls,48,0,results/2020_07_28_16_15/
dot-product,hls_total,88,0,results/2020_07_28_16_15/
dot-product,futil,97,0,results/2020_07_28_16_15/
linear-algebra-mvt,hls,418,6,results/2020_07_28_16_15/
linear-algebra-mvt,hls_total,458,6,results/2020_07_28_16_15/
linear-algebra-mvt,futil,254,0,results/2020_07_28_16_15/

