benchmark,type,lut,dsp,source
linear-algebra-symm,hls,952,0,results/2020_07_28_11_18
linear-algebra-symm,hls_total,2186,0,results/2020_07_28_11_18
linear-algebra-symm,futil,226,0,results/2020_07_28_11_18
linear-algebra-2mm,hls,1003,0,results/2020_07_28_11_18
linear-algebra-2mm,hls_total,2267,0,results/2020_07_28_11_18
linear-algebra-2mm,futil,306,0,results/2020_07_28_11_18
linear-algebra-trmm,hls,588,0,results/2020_07_28_11_18
linear-algebra-trmm,hls_total,1498,0,results/2020_07_28_11_18
linear-algebra-trmm,futil,192,0,results/2020_07_28_11_18
linear-algebra-syr2k,hls,932,0,results/2020_07_28_11_18
linear-algebra-syr2k,hls_total,2068,0,results/2020_07_28_11_18
linear-algebra-syr2k,futil,326,0,results/2020_07_28_11_18
linear-algebra-syrk,hls,802,0,results/2020_07_28_11_18
linear-algebra-syrk,hls_total,1825,0,results/2020_07_28_11_18
linear-algebra-syrk,futil,358,0,results/2020_07_28_11_18
linear-algebra-trisolv,hls,731,0,results/2020_07_28_11_18
linear-algebra-trisolv,hls_total,1830,0,results/2020_07_28_11_18
linear-algebra-trisolv,futil,175,0,results/2020_07_28_11_18
linear-algebra-bicg,hls,766,0,results/2020_07_28_11_18
linear-algebra-bicg,hls_total,1804,0,results/2020_07_28_11_18
linear-algebra-bicg,futil,285,0,results/2020_07_28_11_18
linear-algebra-atax,hls,795,0,results/2020_07_28_11_18
linear-algebra-atax,hls_total,1769,0,results/2020_07_28_11_18
linear-algebra-atax,futil,322,0,results/2020_07_28_11_18
linear-algebra-gesummv,hls,848,0,results/2020_07_28_11_18
linear-algebra-gesummv,hls_total,2112,0,results/2020_07_28_11_18
linear-algebra-gesummv,futil,212,0,results/2020_07_28_11_18
linear-algebra-gemm,hls,752,0,results/2020_07_28_11_18
linear-algebra-gemm,hls_total,1839,0,results/2020_07_28_11_18
linear-algebra-gemm,futil,290,0,results/2020_07_28_11_18
dot-product,hls,48,0,results/2020_07_28_11_18
dot-product,hls_total,216,0,results/2020_07_28_11_18
dot-product,futil,97,0,results/2020_07_28_11_18
linear-algebra-gemver,hls,1575,0,results/2020_07_28_11_18
linear-algebra-gemver,hls_total,3193,0,results/2020_07_28_11_18
linear-algebra-gemver,futil,450,0,results/2020_07_28_11_18
linear-algebra-mvt,hls,778,0,results/2020_07_28_11_18
linear-algebra-mvt,hls_total,1816,0,results/2020_07_28_11_18
linear-algebra-mvt,futil,256,0,results/2020_07_28_11_18

